t,Tin,Tin_amb,Tout,T4,T5,T6,T7,T8,note,flowrate,Tset,duty
2023-03-16 12:26:21,23.88124656677246,24.257835908527294,23.855773994581234,25.502701882061466,26.212333802530498,24.756715463662566,24.528744349446125,23.881406841475055,,0.0,0.0,0.0
2023-03-16 12:26:23,23.888282775878906,24.253789767798306,23.855452367663652,25.494991190972748,26.21198563744033,24.76376325736813,24.53627577199189,23.877397984866292,,,,
2023-03-16 12:26:23,23.877111434936523,24.257374760394615,23.851648035070454,25.498549676825416,26.21978947981638,24.756258856805523,24.524318184068186,23.880951854411208,,,,
2023-03-16 12:26:24,23.88460350036621,24.261233740584398,23.855452367663652,25.50237820923633,26.21993369020876,24.76376325736813,24.53627577199189,23.881085674135868,,,,
2023-03-16 12:26:25,23.88460350036621,24.261233740584398,23.86646761381144,25.49868374249263,26.215959663824545,24.77113201321588,24.532337546431904,23.881085674135868,,,,
2023-03-16 12:26:26,23.88460350036621,24.268677713370487,23.859123482006964,25.506072675980032,26.21198563744033,24.77113201321588,24.540213997551874,23.888461052675023,,,,
2023-03-16 12:26:27,23.88843536376953,24.26883207257808,23.86294874889657,25.50253334236554,26.216124475701548,24.767601429651805,24.52856060641844,23.88123861096405,,,,
2023-03-16 12:26:28,23.884756088256836,24.265110086185032,23.859275731435403,25.50992227585294,26.212152509465795,24.767601429651805,24.524624422447655,23.870175543155323,,,,
2023-03-16 12:26:29,23.88107681274414,24.265110086185032,23.855604617092094,25.498838875621836,26.216124475701548,24.767601429651805,24.52856060641844,23.8738632324249,,,,
2023-03-16 12:26:30,23.884756088256836,24.261386170301893,23.851935405866637,25.50992227585294,26.212152509465795,24.76023076331511,24.53250087356762,23.877550921694475,,,,
2023-03-16 12:26:31,23.877397537231445,24.265110086185032,23.859275731435403,25.50253334236554,26.216124475701548,24.767601429651805,24.54037732468759,23.88123861096405,,,,
2023-03-16 12:26:32,23.88107681274414,24.27255405897112,23.859275731435403,25.50253334236554,26.208176422933118,24.76023076331511,24.536439099127605,23.877550921694475,water at 0.5 ml/min,,,
2023-03-16 12:26:33,23.877397537231445,24.261388099791986,23.855605568651022,25.50253238475363,26.21215044931733,24.762073429899285,24.534469986347613,23.88123861096405,,,,
2023-03-16 12:26:34,23.884756088256836,24.265110086185032,23.859275731435403,25.50253334236554,26.212152509465795,24.763916096483456,24.536439099127605,23.88492630023363,,,,
2023-03-16 12:26:35,23.892284393310547,24.26900186770643,23.855773994581234,25.510090815548867,26.212333802530498,24.771456796335954,24.536618758976896,23.881406841475055,,,,
2023-03-16 12:26:36,23.892114639282227,24.265110086185032,23.86294874889657,25.50622589388542,26.216124475701548,24.763916096483456,24.54037732468759,23.88492630023363,,,,
2023-03-16 12:26:37,23.88860511779785,24.26900186770643,23.859445108924547,25.502701882061466,26.220281855298925,24.771456796335954,24.536618758976896,23.881406841475055,flowrate updated to 0.5,0.5,,
2023-03-16 12:26:38,23.892284393310547,24.276445840492517,23.866787337611168,25.506398264028984,26.212333802530498,24.764084219510316,24.540559026126076,23.87772106391583,,,,
2023-03-16 12:26:39,23.88124656677246,24.265279881313383,23.855773994581234,25.502701882061466,26.220281855298925,24.767771463167605,24.524804082296942,23.87772106391583,,,,
2023-03-16 12:26:40,23.88124656677246,24.265279881313383,23.855773994581234,25.499009330541583,26.212333802530498,24.76040079683091,24.536618758976896,23.881406841475055,,,,
2023-03-16 12:26:41,23.892284393310547,24.280169756375656,23.855773994581234,25.499009330541583,26.212333802530498,24.756715463662566,24.53268053341691,23.874033374646253,,,,
2023-03-16 12:26:42,23.879484176635742,24.26721901885875,23.85768662802604,25.49908498188237,26.208443212159015,24.764162549556925,24.532764238573964,23.877798488185096,,,,
