Wavelength,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7
2030.5,0.002535,0.003923,0.01158,0.003812,0.008721,0.006306,0.003148
2030,0.002539,0.003569,0.008961,0.002885,0.005625,0.006845,0.002171
2029.5,0.001908,0.002966,0.00632,0.00228,0.003835,0.006772,0.002239
2029,0.00193,0.002683,0.005516,0.002732,0.004591,0.007346,0.003141
2028.5,0.003178,0.00319,0.006899,0.004427,0.007068,0.009225,0.004786
2028,0.00448,0.004376,0.009009,0.00664,0.009494,0.01145,0.006866
2027.5,0.004515,0.005644,0.00986,0.008356,0.010583,0.012217,0.008593
2027,0.003322,0.006303,0.008435,0.00892,0.009868,0.010528,0.009053
2026.5,0.001676,0.005973,0.005312,0.008111,0.007626,0.007077,0.007848
2026,0.000091,0.004824,0.002273,0.006148,0.005025,0.003691,0.005526
2025.5,-0.000904,0.003362,0.001059,0.003881,0.003633,0.001974,0.003442
2025,-0.000541,0.001886,0.001962,0.002517,0.00412,0.002294,0.002924
2024.5,0.001124,0.000324,0.00358,0.002697,0.005622,0.003767,0.004119
2024,0.002616,-0.0012,0.004338,0.003918,0.006691,0.005132,0.005603
2023.5,0.00254,-0.00188,0.004176,0.005113,0.00673,0.00576,0.005584
2023,0.001309,-0.000764,0.004345,0.005669,0.006298,0.005912,0.00375
2022.5,0.000531,0.002104,0.005652,0.005683,0.006323,0.006204,0.001677
2022,0.001038,0.005404,0.007383,0.005438,0.007218,0.00694,0.00113
2021.5,0.002269,0.007591,0.007982,0.004903,0.008471,0.007799,0.002207
2021,0.003225,0.008011,0.006506,0.003733,0.008955,0.00804,0.00341
2020.5,0.003193,0.006893,0.003313,0.00161,0.007935,0.007162,0.003323
2020,0.001807,0.004719,-0.000394,-0.001284,0.00583,0.005502,0.001977
2019.5,-0.000651,0.002053,-0.00342,-0.004019,0.003747,0.004025,0.000633
2019,-0.002939,-0.000257,-0.005046,-0.00525,0.002405,0.003316,0.000499
2018.5,-0.003677,-0.001388,-0.005115,-0.004224,0.001892,0.002856,0.001613
2018,-0.002759,-0.001354,-0.004076,-0.001639,0.002195,0.001558,0.002695
2017.5,-0.001439,-0.001188,-0.002817,0.000753,0.003285,-0.000946,0.002236
2017,-0.000835,-0.001952,-0.001917,0.001702,0.004685,-0.003825,0.000085
2016.5,-0.00092,-0.003594,-0.00091,0.001482,0.005634,-0.005864,-0.002149
2016,-0.001293,-0.005003,0.001108,0.00117,0.005816,-0.006547,-0.002677
2015.5,-0.002223,-0.005133,0.003813,0.001136,0.005339,-0.006303,-0.001371
2015,-0.004247,-0.00384,0.005312,0.000747,0.004138,-0.005909,0.000327
2014.5,-0.006987,-0.001752,0.004305,-0.000338,0.002316,-0.005626,0.001212
2014,-0.009001,0.000381,0.002171,-0.001141,0.001025,-0.004717,0.001549
2013.5,-0.00905,0.002107,0.001548,-0.000284,0.001731,-0.002115,0.002295
2013,-0.007249,0.003224,0.002898,0.00214,0.004203,0.002056,0.003505
2012.5,-0.004738,0.003683,0.003956,0.004408,0.006274,0.005962,0.004171
2012,-0.002492,0.003709,0.003003,0.005067,0.006246,0.007624,0.003597
2011.5,-0.000813,0.003866,0.001241,0.004346,0.004724,0.006928,0.002274
2011,0.000355,0.00466,0.000948,0.003383,0.003422,0.005604,0.001174
2010.5,0.001042,0.005811,0.00234,0.002573,0.002855,0.00524,0.000564
2010,0.001071,0.00612,0.003449,0.001368,0.002102,0.005831,-0.000157
