,t,x,V,x_run,T_run,T_cal,baseline,Tin,Tout,t_start
0,1682689545.360861,99.9885107421875,0.00016499999999998027,99.81482411291483,-79.6592747130121,48.85713409742646,-0.002039999999999996,110.48822021484375,51.67761188330574,1682689570.0
1,1682689545.3617213,99.9885107421875,-0.00045990329088953317,99.7972576219102,-79.65587434066448,48.857209906525135,-0.002040096709110469,,,
2,1682689545.3653736,99.9885107421875,-0.00033480658177907326,99.78148436003393,-79.65157006139131,48.857265095052156,-0.0020401934182209427,,,
3,1682689545.3695574,99.9885107421875,4.029012733141419e-05,99.76156843884566,-79.64680092529954,48.85725845374669,-0.002040290127331416,,,
4,1682689545.373618,99.9885107421875,0.0021653868364418898,99.74572247849122,-79.64130866755646,48.85690151778296,-0.0020403868364418896,,,
5,1682689545.3768587,99.9885107421875,0.002540483545552363,99.727560552332,-79.63488667616748,48.85648275198674,-0.002040483545552363,,,
6,1682689545.3809276,99.9885107421875,0.0010405802546628357,99.70606488167348,-79.62797400161817,48.85631122581424,-0.0020405802546628366,,,
7,1682689545.3862948,99.98628713384798,0.0015406769637733094,99.69017737933152,-79.620234899389,48.85605726517884,-0.00204067696377331,,,
8,1682689545.3880494,99.98298936404336,-0.00045922632711621874,99.67033415662142,-79.05198667912269,48.85613296268881,-0.0020407736728837835,,,
9,1682689545.3922513,99.97509156610387,0.0009158703819942696,99.65180081154439,-77.76214281471626,48.85598199332299,-0.0020408703819942567,,,
10,1682689545.3962474,99.96758050214201,0.0005409670911047291,99.63401128710291,-77.75163076058716,48.85589282190717,-0.0020409670911047304,,,
11,1682689545.4033318,99.9542648434962,-0.0008339361997848128,99.61395495672498,-77.74038706675941,48.85603028548465,-0.0020410638002152036,,,
12,1682689545.406968,99.9474300038359,-0.0012088394906742978,99.59806250905993,-77.7283865039171,48.85622954701212,-0.0020411605093256773,,,
13,1682689545.4108024,99.94022321840339,-0.0007087427815638241,99.57621777629126,-77.71550292380326,48.8563463740767,-0.0020412572184361506,,,
14,1682689545.4148626,99.93259160816113,0.0006663539275466091,99.56028516635324,-77.70216523002064,48.856236534265484,-0.0020413539275466242,,,
15,1682689545.4184265,99.92397895676268,0.0009164506366571104,99.54095648186215,-77.68817158558676,48.85608546925221,-0.0020414506366570975,,,
16,1682689545.4225655,99.90962881439074,-0.00045845265423243107,99.52171166564699,-77.33751310605696,48.85616103923223,-0.002041547345767571,,,
17,1682689545.42658,99.89571016823528,0.0005416440548780431,99.50085050697257,-76.53132678907146,48.85607175622769,-0.0020416440548780444,,,
18,1682689545.4299152,99.88414656560619,-0.0015832592360114713,99.4845994130152,-76.51572120544749,48.85633273599895,-0.002041740763988518,,,
19,1682689545.4343162,99.86888796664054,-0.004208162526901014,99.46500532591378,-76.49939459809825,48.85702639706763,-0.0020418374730989913,,,
20,1682689545.4375339,99.85773188821591,-0.006083065817790528,99.44552750641184,-76.48247128484836,48.85802911165127,-0.002041934182209465,,,
21,1682689545.4415512,99.8438033226072,-0.01083296910868006,99.42172980620313,-76.46490153849236,48.85981478624937,-0.0020420308913199382,,,
22,1682689545.4448724,99.83228849062327,-0.013957872399569603,99.40960321543999,-76.44675994969424,48.86211556066656,-0.002042127600430412,,,
23,1682689545.4494643,99.81482411291483,-0.016457775690459104,99.3901553618142,-76.42829515409703,48.864828411750764,-0.002042224309540885,,,
24,1682689545.4530938,99.7972576219102,-0.02083267898134865,99.37067754231227,-76.40908447108949,48.868262408958195,-0.002042321018651359,,,
25,1682689545.4563527,99.78148436003393,-0.023082582272238177,99.35020125981677,-76.63561094226607,48.872067273571815,-0.002042417727761832,,,
26,1682689545.4604676,99.76156843884566,-0.026582485563127707,99.3330034751126,-77.09211850240632,48.87644905189576,-0.0020425144368723057,,,
27,1682689545.4637415,99.74572247849122,-0.03108238885401721,99.31180601699208,-77.071370766317,48.88157258097335,-0.002042611145982779,,,
28,1682689545.467494,99.727560552332,-0.03345729214490675,99.29196100704539,-77.0504222590792,48.88708758208753,-0.0020427078550932527,,,
29,1682689545.4719353,99.70606488167348,-0.03745719543579628,99.27612109603665,-77.02902199274965,48.893261915433705,-0.002042804564203726,,,
30,1682689545.4752178,99.69017737933152,-0.042457098726685814,99.25516349264055,-77.0069942753638,48.90026041805516,-0.0020429012733141996,,,
31,1682689545.4793177,99.67033415662142,-0.04683200201757533,99.23803287823853,-76.98448969993298,48.90798006679984,-0.002042997982424673,,,
32,1682689545.48312,99.65180081154439,-0.05208190530846486,99.21831848225067,-76.96108158670256,48.916565094080624,-0.0020430946915351465,,,
33,1682689545.4867105,99.63401128710291,-0.055706808599354375,99.19829773715935,-76.9294931714181,48.92574763970215,-0.0020431914006456197,,,
34,1682689545.4907587,99.61395495672498,-0.05945671189024391,99.17728463794018,-76.88576864295614,48.935548308294834,-0.0020432881097560934,,,
35,1682689545.4939663,99.59806250905993,-0.06383161518113342,99.16016108697116,-76.86061248557002,48.946070123010735,-0.0020433848188665667,,,
36,1682689545.4983754,99.57621777629126,-0.06608151847202295,99.14373122036436,-76.83515526736832,48.95696280513283,-0.0020434815279770403,,,
37,1682689545.5015912,99.56028516635324,-0.06933142176291249,99.12380561218556,-76.80914608812283,48.96839119170443,-0.0020435782370875136,,,
38,1682689545.5054924,99.54095648186215,-0.07383132505380201,99.10378497875168,-76.78308674818136,48.980561329029655,-0.0020436749461979872,,,
39,1682689545.5093768,99.52171166564699,-0.07508122834469154,99.0877637207418,-76.75692706764735,48.99293749671777,-0.0020437716553084605,,,
40,1682689545.513569,99.50085050697257,-0.07845613163558106,99.06833580733661,-76.73011506584484,49.0058699734858,-0.002043868364418934,,,
41,1682689545.5168016,99.4845994130152,-0.08208103492647059,99.04886394475092,-76.61959225070235,49.01939996859458,-0.0020439650735294074,,,
42,1682689545.520699,99.46500532591378,-0.08508093821736012,99.0254932927079,-76.36339325144307,49.03342445889202,-0.002044061782639881,,,
43,1682689545.5245733,99.44552750641184,-0.08833084150824966,99.00950092390617,-76.3353658259746,49.04798465363897,-0.0020441584917503543,,,
44,1682689545.529307,99.42172980620313,-0.09120574479913918,98.99391286661343,-76.30718849090064,49.06301873894417,-0.002044255200860828,,,
45,1682689545.531719,99.40960321543999,-0.09283064809002871,98.9744522445135,-76.2787363059461,49.07832066850351,-0.0020443519099713012,,,
46,1682689545.5355873,99.3901553618142,-0.09658055138091821,98.95494749401881,-76.24970941326454,49.094240721034,-0.002044448619081775,,,
47,1682689545.5394616,99.37067754231227,-0.09758045467180775,98.93483687259031,-76.22028272997257,49.11032559466655,-0.002044545328192248,,,
48,1682689545.5435345,99.35020125981677,-0.10145535796269729,98.91538340644631,-76.19043126781143,49.12704919590067,-0.002044642037302722,,,
49,1682689545.5469663,99.3330034751126,-0.1033302612535868,98.8998824132838,-76.16055483685605,49.14408185064974,-0.002044738746413195,,,
50,1682689545.5512226,99.31180601699208,-0.10433016454447633,98.8804551856448,-75.74546523894409,49.161279326500875,-0.0020448354555236688,,,
51,1682689545.5552073,99.29196100704539,-0.10658006783536586,98.86024232890263,-75.56343558282889,49.178847669758206,-0.002044932164634142,,,
52,1682689545.5583878,99.27612109603665,-0.10970497112625541,98.84041887574706,-75.5327774352652,49.19693111283462,-0.0020450288737446157,,,
53,1682689545.5625958,99.25516349264055,-0.11207987441714491,98.82087648706303,-75.50184637608868,49.215406027947644,-0.002045125582855089,,,
54,1682689545.5660355,99.23803287823853,-0.11657977770803445,98.80125482378448,-75.47059278128907,49.2346226938143,-0.0020452222919655626,,,
55,1682689545.569994,99.21831848225067,-0.11970468099892397,98.78153106443717,-75.43948807725658,49.25435445950004,-0.002045319001076036,,,
56,1682689545.574014,99.19829773715935,-0.12120458428981348,98.76519929683198,-75.40811046133291,49.2743334648095,-0.0020454157101865095,,,
57,1682689545.5782328,99.17728463794018,-0.12532948758070303,98.74527855212855,-75.37636068628008,49.29499240698136,-0.0020455124192969827,,,
58,1682689545.5816698,99.16016108697116,-0.12682939087159253,98.72524490118444,-75.52392947429286,49.315898588776925,-0.0020456091284074564,,,
59,1682689545.5849676,99.14373122036436,-0.12957929416248207,98.69789553136457,-76.1044798668398,49.33725805650034,-0.0020457058375179297,,,
60,1682689545.588967,99.12380561218556,-0.12982919745337163,98.68921624290164,-76.07174402876244,49.358658717543335,-0.0020458025466284033,,,
61,1682689545.5929856,99.10378497875168,-0.13032910074426116,98.66987505119131,-76.03890791772274,49.38014178116674,-0.0020458992557388766,,,
62,1682689545.5962014,99.0877637207418,-0.13357900403515063,98.6505231619192,-76.00567065669154,49.40216054923965,-0.0020459959648493503,,,
63,1682689545.600101,99.06833580733661,-0.13657890732604017,98.63067918480489,-75.97230804966942,49.42467381250123,-0.0020460926739598235,,,
64,1682689545.6040094,99.04886394475092,-0.1390788106169297,98.61359042415965,-75.93889531583007,49.44759915242984,-0.002046189383070297,,,
65,1682689545.6086953,99.0254932927079,-0.14020371390781922,98.59240449735012,-75.90538230904286,49.47070991809091,-0.0020462860921807704,,,
66,1682689545.6118922,99.00950092390617,-0.14095361719870877,98.57686569454597,-75.87154337145587,49.49394429559323,-0.002046382801291244,,,
67,1682689545.6150084,98.99391286661343,-0.1423285204895983,98.55755184104909,-75.77323434970954,49.51740530808884,-0.0020464795104017173,,,
68,1682689545.6188986,98.9744522445135,-0.1452034237804878,98.53764353314469,-75.59987816844063,49.54134021114272,-0.002046576219512191,,,
69,1682689545.6227977,98.95494749401881,-0.14720332707137734,98.51772008841291,-75.56550469715302,49.56560477234196,-0.0020466729286226643,,,
70,1682689545.626818,98.93483687259031,-0.14932823036226686,98.49811128084147,-75.53090619126752,49.59021959631699,-0.002046769637733138,,,
71,1682689545.6307068,98.91538340644631,-0.1494531336531564,98.48260229081367,-75.49653275872033,49.61485500898118,-0.002046866346843611,,,
72,1682689545.6338055,98.8998824132838,-0.1502030369440459,98.46315914447437,-75.4621843513919,49.639614033486616,-0.002046963055954085,,,
73,1682689545.637689,98.8804551856448,-0.15207794023493545,98.44316657491191,-75.42766092157554,49.664682111507,-0.002047059765064558,,,
74,1682689545.6417093,98.86024232890263,-0.15445284352582497,98.4237186613429,-75.39288745124547,49.69014166156399,-0.0020471564741750318,,,
75,1682689545.6456442,98.84041887574706,-0.1558277468167145,98.4032648623068,-75.32599258325645,49.71582784661429,-0.002047253183285505,,,
76,1682689545.6495233,98.82087648706303,-0.15745265010760404,98.38228850875467,-75.21045432544196,49.74178187591871,-0.0020473498923959787,,,
77,1682689545.653418,98.80125482378448,-0.15670255339849354,98.36929151248806,-75.17530836468089,49.767612261499416,-0.002047446601506452,,,
78,1682689545.6573331,98.78153106443717,-0.15807745668938308,98.34942660213221,-75.14013745440757,49.79366928207342,-0.0020475433106169256,,,
79,1682689545.660575,98.76519929683198,-0.1599523599802726,98.3295199161432,-75.10499153218086,49.82003535616237,-0.002047640019727399,,,
80,1682689545.664529,98.74527855212855,-0.16182726327116212,98.30455121700636,-75.06977072332941,49.84671048376628,-0.0020477367288378725,,,
81,1682689545.6685057,98.72524490118444,-0.16395216656205167,98.29135727846922,-75.03442509051791,49.87373587414598,-0.0020478334379483458,,,
82,1682689545.6739473,98.69789553136457,-0.1632020698529412,98.27152340144085,-74.99895463375128,49.900637620801945,-0.0020479301470588194,,,
83,1682689545.6756883,98.68921624290164,-0.16370197314383073,98.25587783003277,-74.96320954109336,49.92762177003832,-0.0020480268561692927,,,
84,1682689545.6795678,98.66987505119131,-0.16570187643472023,98.23632444654123,-75.20190746936217,49.95493557742007,-0.0020481235652797664,,,
85,1682689545.6834495,98.6505231619192,-0.16632677972560975,98.216052837902,-75.27879109327021,49.98235239201264,-0.0020482202743902396,,,
86,1682689545.68743,98.63067918480489,-0.16657668301649928,98.19665594088836,-75.24281086597084,50.009810399924795,-0.0020483169835007133,,,
87,1682689545.6908576,98.61359042415965,-0.1670765863073888,98.17719373445716,-75.20683065819763,50.03735081041735,-0.0020484136926111865,,,
88,1682689545.6951072,98.59240449735012,-0.16870148959827835,98.16176408769897,-75.17067478457584,50.06515906516404,-0.00204851040172166,,,
89,1682689545.698224,98.57686569454597,-0.17132639288916787,98.14221757274693,-75.13419265808652,50.09340000120817,-0.0020486071108321334,,,
90,1682689545.7020981,98.55755184104909,-0.17170129618005742,98.12239200846535,-75.09753486579035,50.121702735202284,-0.002048703819942607,,,
91,1682689545.706088,98.53764353314469,-0.17182619947094693,98.10289061638363,-75.06092728871207,50.150026057885576,-0.0020488005290530804,,,
92,1682689545.7100737,98.51772008841291,-0.17295110276183642,98.08362315076116,-74.85568458761453,50.178534806301336,-0.002048897238163554,,,
93,1682689545.7139964,98.49811128084147,-0.17182600605272597,98.0642551860082,-74.47327687779263,50.20685809710214,-0.0020489939472740273,,,
94,1682689545.717099,98.48260229081367,-0.1717009093436155,98.04834709997407,-74.43702022312405,50.23516076733129,-0.002049090656384501,,,
95,1682689545.7209885,98.46315914447437,-0.17257581263450503,98.02890468080825,-74.40056418236738,50.26360765403208,-0.002049187365494974,,,
96,1682689545.724988,98.44316657491191,-0.17382571592539456,98.00940606622392,-74.36415801221025,50.29226057109576,-0.002049284074605448,,,
97,1682689545.7288785,98.4237186613429,-0.1748256192162841,97.98566768665822,-74.32780171267835,50.3210783092615,-0.002049380783715921,,,
98,1682689545.7329702,98.4032648623068,-0.1749505225071736,97.96969742696953,-74.291196175673,50.34991663611642,-0.0020494774928263948,,,
99,1682689545.7371647,98.38228850875467,-0.17595042579806314,97.95023109485967,-74.25439125244287,50.37891978407339,-0.002049574201936868,,,
100,1682689545.7397609,98.36929151248806,-0.17607532908895265,97.93465300745353,-74.21746172008412,50.407943520719535,-0.0020496709110473417,,,
101,1682689545.7437289,98.34942660213221,-0.17595023237984217,97.91514961028038,-74.38628859530124,50.436946636794026,-0.002049767620157815,,,
102,1682689545.7477052,98.3295199161432,-0.17632513567073171,97.89529831527564,-74.42848208810645,50.46601155081851,-0.0020498643292682886,,,
103,1682689545.7526927,98.30455121700636,-0.17695003896162123,97.87586466701762,-74.39143600376102,50.49517947205381,-0.002049961038378762,,,
