,t,x,V,x_run,T_run,T_cal,baseline,Tin,Tout,t_start
0,1682699637.3205116,99.99745361328125,-0.0021423749999999802,99.86485128891812,-81.81218800232523,48.21209382416083,-0.0016076249999999951,110.27134704589844,50.983464870445275,1682699662.0
1,1682699637.321381,99.99745361328125,0.0004827243319584012,99.84988366004707,-81.81113057544218,48.21200651939723,-0.0016077243319583883,,,
2,1682699637.325001,99.99745361328125,-0.0006421763360831929,99.83200013702925,-81.80933256275071,48.21212266239956,-0.0016078236639167813,,,
3,1682699637.3291943,99.99745361328125,-0.0006420770041247997,99.81418148140904,-81.80679396426821,48.21223878743687,-0.0016079229958751746,,,
4,1682699637.333761,99.99745361328125,0.0022330223278335675,99.79452979868258,-81.80337235509515,48.211834926530045,-0.0016080223278335676,,,
5,1682699637.336365,99.99417272915635,0.0003581216597919874,99.78228241551714,-81.79963743444817,48.2117701572098,-0.0016081216597919608,,,
6,1682699637.3404403,99.98885908955553,-0.0008917790082496485,99.76422312277683,-81.7951334428316,48.21193144295892,-0.0016082209917503538,,,
7,1682699637.3436966,99.98461327608406,-0.000516679676291241,99.74999309899134,-80.21874956809863,48.21202488883271,-0.001608320323708747,,,
8,1682699637.3489788,99.97772603069963,0.0003584196556671666,99.72609184265856,-71.80997037311386,48.21196006561739,-0.00160841965566714,,,
9,1682699637.351571,99.97434598018891,0.0022335189876255333,99.71319090365473,-71.80376466121015,48.21155611488546,-0.0016085189876255332,,,
10,1682699637.3556364,99.96904539697746,0.0017336183195839263,99.69692740347342,-71.79675860622227,48.21124257540226,-0.0016086183195839262,,,
11,1682699637.358877,99.96482010068927,-0.0011412823484576553,99.6766138163175,-71.7888521630358,48.21144898593316,-0.0016087176515423194,,,
12,1682699637.3629465,99.95951392188236,-0.0003911830164992894,99.65625614171879,-71.7799202748832,48.2115197346784,-0.0016088169835007124,,,
13,1682699637.3665786,99.953591788223,-0.0008910836845408966,99.6382184198531,-71.77018804371414,48.21168089467237,-0.0016089163154591056,,,
14,1682699637.3708017,99.94142678987197,-0.0006409843525824756,99.62118398519912,-71.75975551500426,48.211796822094435,-0.0016090156474174986,,,
15,1682699637.3740437,99.93208790613814,0.00023411497937587673,99.60029130352433,-71.74882277940581,48.21175448042741,-0.0016091149793758918,,,
16,1682699637.3781233,99.9203363515294,-0.0006407856886656892,99.57996341773831,-71.67882407704526,48.21187037191944,-0.001609214311334285,,,
17,1682699637.381728,99.90995286990183,-0.0002656863567073375,99.56189192169431,-71.44376184019859,48.211918423536126,-0.001609313643292678,,,
18,1682699637.3851511,99.90009203061294,-1.5587024748916307e-05,99.54478686462168,-71.4308789537408,48.21192124258091,-0.0016094129752510713,,,
19,1682699637.3892133,99.88839061120885,-0.000890487692790538,99.52441606827999,-71.41744799451938,48.21208229478475,-0.0016095123072094643,,,
