t,Tin,Tin_amb,Tout,T4,T5,T6,T7,T8,note,Tset,duty
2023-04-28 13:21:57,110.79060363769531,35.44017645856722,48.394543270736904,99.66416324739573,37.00310508861188,108.49276563993357,33.057424011598016,82.44318564144498,,,34.18838219864993
2023-04-28 13:21:58,110.79826354980469,35.44242817350796,48.40399034777174,99.67540178075605,37.00740255830471,108.48766845543739,33.057775164939805,82.43631495443883,,,28.805504433589384
2023-04-28 13:21:59,110.81314849853516,35.4409791264467,48.417034317553515,99.67578482551951,37.01166294532522,108.5024250720223,33.05810181921124,82.44381650586124,,,32.73661773319621
2023-04-28 13:22:00,110.81314849853516,35.43729380036546,48.417034317553515,99.67940842898197,37.003789057901436,108.52410530053157,33.05810181921124,82.43301151895007,,,31.560075045861787
2023-04-28 13:22:01,110.83159637451172,35.44498860686388,48.43544127345217,99.68333846825522,37.01594393383035,108.52804090775128,33.0545433292418,82.45852138189109,,,31.434439257299697
2023-04-28 13:22:02,110.83538818359375,35.445162260972424,48.442848208145875,99.69434717475744,37.0200642307554,108.53183131781141,33.09762698605483,82.46948695247185,,,28.78778454803055
2023-04-28 13:22:03,110.83917999267578,35.441646730019535,48.443015682517164,99.69813165702055,37.02024552382011,108.54644273723676,33.07050651516897,82.4948515254261,,,31.370084688155167
2023-04-28 13:22:04,110.85383605957031,35.45654239355209,48.46487108797003,99.70550909916506,37.02828010282396,108.55744715354038,33.08236814840044,82.4841994753431,,,30.019158606923472
2023-04-28 13:22:05,110.86865234375,35.46055187396927,48.48327804386868,99.71667102357267,37.03256109132909,108.56499740583759,33.08661465392909,82.49171632044833,,,28.552830233471933
2023-04-28 13:22:06,110.87983703613281,35.462709043895366,48.48901023484953,99.72240137323423,37.04273616458551,108.57433969676201,33.08694437058432,82.49562003298772,,,30.464817650153684
2023-04-28 13:22:07,110.89104461669922,35.46857083480364,48.50200091733135,99.73537892982071,37.045057951902784,108.58731191667547,33.087298586309906,82.49595267058902,,,27.72983658990993
2023-04-28 13:22:08,110.8912124633789,35.457688510668454,48.50217219793835,99.73915575118856,37.049178248827836,108.59108704282409,33.067979027743746,82.49251923879629,,,31.01880664301089
2023-04-28 13:22:09,110.90225982666016,35.46891814302072,48.51681098048306,99.73571600921257,37.053298545752895,108.59487745288422,33.091563466141324,82.48189012923754,,,33.681292898626126
2023-04-28 13:22:10,110.90982055664062,35.4581631652318,48.51710786686852,99.73601478412807,37.04575428208312,108.60239713735835,33.095785472599616,82.5001813738883,,,32.35994059436019
2023-04-28 13:22:11,110.90650177001953,35.45849117854793,48.531898898841675,99.73995248429658,37.0579050377151,108.60993974769978,33.11563176117847,82.50769821899351,,,31.030322532077168
2023-04-28 13:22:12,110.92118835449219,35.46603162583877,48.53206637321296,99.7509611907988,37.054155567513305,108.60649322564915,33.092412767247055,82.522265451878,,,28.380703189805644
2023-04-28 13:22:13,110.9285888671875,35.4514408217412,48.54307020065362,99.75110674780893,37.06218602622023,108.6211046450745,33.09646940498043,82.52600475732709,,,32.309818816044086
2023-04-28 13:22:14,110.94342803955078,35.466529434283245,48.55787645756961,99.75867571233516,37.06255685294349,108.6250631781615,33.10073428481185,82.52994288065281,,,29.5739697851912
2023-04-28 13:22:15,110.94726943969727,35.46859398868478,48.56713702905461,99.77334632677619,37.06869403521336,108.63973955421086,33.112668394459796,82.5337548310953,,,26.867057474461507
2023-04-28 13:22:16,110.95492553710938,35.47084763311561,48.58381976017615,99.7737446933302,37.07896799559598,108.64736240508785,33.117001667529294,82.54494598349763,,,32.01676987727082
2023-04-28 13:22:17,110.97322082519531,35.47838808040645,48.58760315847294,99.78837700329488,37.08308829252103,108.65113753123646,33.11328393360253,82.54871587631236,,,26.74442638425645
2023-04-28 13:22:18,110.96611785888672,35.467486461370314,48.587755407901376,99.77767473260344,37.08324898410111,108.65129801230755,33.1173466961035,82.56326016867261,,,36.004434486988195
